client-1,d,32,c,7727
client-2,c,25,e,8432
client-3,d,31,d,8337
client-4,e,44,i,11299
client-5,c,25,i,11091
client-6,c,27,c,7546
client-7,b,15,b,6722
client-8,e,48,c,7642
client-9,d,34,f,9231
client-10,c,24,h,10471
client-11,d,33,e,8460
client-12,b,16,j,11670
client-13,e,46,b,6935
client-14,f,51,h,10382
client-15,d,38,h,10495
client-16,a,0,g,9859
client-17,d,34,j,11636
client-18,d,39,f,9187
client-19,c,26,d,8345
client-20,e,42,e,8591
client-21,f,53,e,8477
client-22,d,33,e,8919
client-23,e,44,b,7072
client-24,f,50,e,8790
client-25,e,47,f,9362
client-26,d,35,b,6716
client-27,e,45,e,8829
client-28,g,65,i,10831
client-29,e,40,e,8989
client-30,d,37,d,7962
client-31,b,18,e,8995
client-32,d,32,d,7997
client-33,b,14,i,10994
client-34,d,35,e,8617
client-35,f,55,e,8713
client-36,d,31,c,7252
client-37,d,39,e,8928
client-38,d,33,g,9719
client-39,e,44,c,7589
client-40,g,65,i,11129
client-41,e,44,e,8682
client-42,f,57,a,6569
client-43,e,46,g,9797
client-44,f,56,j,11533
client-45,f,51,h,10368
client-46,c,24,i,10906
client-47,f,50,f,9268
client-48,c,20,f,9029
client-49,d,37,h,10420
client-50,a,0,e,8853
client-51,c,29,f,9023
client-52,c,27,b,6684
client-53,f,57,h,10324
client-54,b,15,g,9948
client-55,g,63,f,9512
client-56,c,26,f,9455
client-57,d,38,j,12000
client-58,e,44,c,7233
client-59,d,33,i,10809
client-60,e,42,f,9204
client-61,e,47,h,10441
client-62,e,42,d,8107
client-63,c,28,e,8839
client-64,f,52,i,10857
client-65,b,18,b,6976
client-66,f,52,e,8644
client-67,f,50,g,9835
client-68,f,55,d,8148
client-69,f,53,h,10764
client-70,d,38,g,9788
client-71,d,36,c,7573
client-72,d,33,f,9020
client-73,d,39,g,9794
client-74,e,49,f,9014
client-75,c,29,f,9562
client-76,d,39,e,8961
client-77,f,56,c,7706
client-78,e,44,e,8468
client-79,c,26,f,9214
client-80,d,34,c,7750
client-81,b,12,h,10772
client-82,f,50,c,7466
client-83,e,41,c,7683
client-84,e,43,g,9651
client-85,g,67,b,6704
client-86,b,12,j,12000
client-87,e,43,c,7562
client-88,f,53,f,9260
client-89,e,48,c,7758
client-90,f,51,f,9332
client-91,b,15,b,7145
client-92,e,49,a,6535
client-93,c,26,f,9019
client-94,g,62,e,8657
client-95,b,14,e,8574
client-96,d,37,h,10235
client-97,c,27,e,8932
client-98,e,48,f,9048
client-99,c,29,a,6230
client-100,e,45,b,7048
client-101,b,12,e,8773
client-102,f,56,h,10642
client-103,c,25,d,8261
client-104,f,52,c,7311
client-105,c,29,i,11325
client-106,e,44,d,7817
client-107,e,42,c,7726
client-108,b,10,f,9521
client-109,d,36,b,6840
client-110,e,44,f,9254
client-111,e,42,e,8975
client-112,d,31,d,8275
client-113,c,20,i,10963
client-114,b,10,e,8981
client-115,d,33,j,11770
client-116,c,26,h,10699
client-117,b,18,d,7939
client-118,e,45,a,6489
client-119,d,31,f,9263
client-120,c,26,h,10701
client-121,e,46,f,9135
client-122,d,37,h,10471
client-123,e,43,g,9975
client-124,c,25,h,10685
client-125,e,45,f,9339
client-126,e,41,g,9883
client-127,d,39,d,8249
client-128,e,43,f,9230
client-129,f,54,f,9500
client-130,b,14,h,10714
client-131,f,53,h,10613
client-132,g,61,f,9453
client-133,a,0,a,6043
client-134,d,30,a,6311
client-135,b,19,f,9454
client-136,c,22,g,10070
client-137,e,47,b,7088
client-138,c,27,j,11907
client-139,d,33,h,10480
client-140,f,50,i,11207
client-141,d,39,h,10510
client-142,f,55,f,9353
client-143,d,30,e,8650
client-144,e,40,e,8528
client-145,d,31,b,7182
client-146,e,41,f,9365
client-147,c,27,e,8921
client-148,d,38,e,8867
client-149,e,40,d,8339
client-150,f,52,e,8863
client-151,e,47,j,12000
client-152,e,47,a,6000
client-153,c,28,c,7307
client-154,f,55,b,6864
client-155,d,32,a,6276
client-156,e,41,b,7190
client-157,d,35,g,9811
client-158,d,37,b,6763
client-159,d,30,h,10551
client-160,e,46,c,7584
client-161,g,61,g,9746
client-162,d,36,c,7346
client-163,d,33,b,6993
client-164,b,19,c,7471
client-165,d,37,a,6594
client-166,f,53,d,7970
client-167,f,54,g,10152
client-168,e,47,h,10678
client-169,c,26,i,11307
client-170,a,7,h,10659
client-171,e,42,a,6241
client-172,c,25,b,7143
client-173,f,52,h,10798
client-174,d,36,h,10653
client-175,e,40,j,11659
client-176,d,38,c,7306
client-177,c,29,g,9851
client-178,c,20,f,9358
client-179,c,29,e,8840
client-180,e,42,i,11347
client-181,d,30,g,9720
client-182,d,32,d,8339
client-183,c,25,f,9493
client-184,c,26,g,9688
client-185,d,34,g,10167
client-186,c,25,e,8457
client-187,d,33,b,6750
client-188,g,67,f,9233
client-189,c,28,g,10015
client-190,e,48,g,10160
client-191,c,28,c,7786
client-192,e,43,j,11443
client-193,e,46,a,6478
client-194,f,59,f,9224
client-195,e,46,f,9169
client-196,e,49,f,9008
client-197,g,65,e,8579
client-198,d,36,g,9828
client-199,e,42,g,9736
client-200,b,18,f,9486
client-201,b,19,d,7942
client-202,d,35,f,9499
client-203,d,34,f,9282
client-204,c,25,f,9548
client-205,g,62,b,6783
client-206,e,47,d,8192
client-207,g,69,e,8481
client-208,c,24,b,6971
client-209,f,50,f,9546
client-210,e,49,f,9101
client-211,b,18,d,7994
client-212,b,18,g,9840
client-213,e,46,e,8633
client-214,a,2,e,8651
client-215,d,37,f,9108
client-216,d,35,f,9589
client-217,g,60,g,9735
client-218,f,55,f,9348
client-219,c,26,c,7740
client-220,d,39,c,7535
client-221,d,38,c,7432
client-222,b,18,f,9114
client-223,f,56,b,6934
client-224,b,14,j,12000
client-225,e,41,d,7965
client-226,c,23,f,9566
client-227,e,43,f,9018
client-228,f,51,a,6544
client-229,e,47,h,10247
client-230,c,23,d,7889
client-231,d,31,e,8568
client-232,d,33,h,10453
client-233,d,32,h,10686
client-234,d,37,a,6000
client-235,e,44,e,8916
client-236,f,52,d,8255
client-237,c,27,f,9216
client-238,d,37,a,6000
client-239,b,14,f,9257
client-240,f,53,f,9552
client-241,d,30,e,8853
client-242,d,38,i,10898
client-243,e,47,c,7708
client-244,c,26,b,7062
client-245,d,31,g,10044
client-246,c,24,g,9696
client-247,d,39,g,10110
client-248,e,47,i,11089
client-249,h,75,c,7414
client-250,d,36,e,8712
client-251,d,37,g,9615
client-252,c,29,h,10369
client-253,e,41,f,9110
client-254,d,36,e,8989
client-255,c,24,d,8011
client-256,d,31,g,9949
client-257,d,39,e,8696
client-258,e,42,i,11108
client-259,e,41,f,9204
client-260,a,7,e,8618
client-261,e,40,g,10147
client-262,b,18,h,10426
client-263,d,38,e,8508
client-264,d,34,c,7538
client-265,c,25,g,10169
client-266,d,34,g,10038
client-267,e,44,f,9445
client-268,c,22,a,6516
client-269,g,61,e,8893
client-270,d,35,c,7610
client-271,c,27,h,10326
client-272,b,10,a,6000
client-273,e,41,f,9201
client-274,c,28,a,6064
client-275,c,27,f,9394
client-276,e,45,b,6942
client-277,e,41,b,6645
client-278,d,35,f,9440
client-279,d,32,i,10894
client-280,c,26,a,6567
client-281,b,13,f,9417
client-282,b,19,h,10536
client-283,d,30,j,12000
client-284,e,47,a,6423
client-285,e,44,c,7288
client-286,f,59,g,10121
client-287,a,0,c,7443
client-288,d,32,g,10197
client-289,b,18,e,8619
client-290,e,46,b,6956
client-291,e,46,e,8497
client-292,c,25,h,10715
client-293,c,22,i,10950
client-294,f,50,g,10000
client-295,c,28,e,8495
client-296,d,35,i,10807
client-297,d,36,f,9411
client-298,c,27,f,9586
client-299,d,38,e,8457
client-300,e,48,d,8352
client-301,c,27,e,8651
client-302,d,35,c,7408
client-303,c,21,d,8050
client-304,e,46,j,11632
client-305,d,39,g,9902
client-306,d,30,j,12000
client-307,d,30,c,7598
client-308,f,52,h,10407
client-309,b,19,g,9799
client-310,b,16,f,9148
client-311,a,5,c,7668
client-312,e,40,d,8242
client-313,g,67,c,7608
client-314,e,46,b,6663
client-315,c,25,a,6564
client-316,b,15,e,8559
client-317,a,1,g,9716
client-318,e,40,f,9118
client-319,e,40,j,12000
client-320,d,33,f,9575
client-321,f,56,f,9291
client-322,c,28,g,9867
client-323,g,69,h,10616
client-324,e,42,g,10134
client-325,d,39,c,7586
client-326,d,38,e,8703
client-327,d,30,e,8832
client-328,d,33,c,7703
client-329,c,23,f,9437
client-330,e,42,h,10481
client-331,b,17,g,10087
client-332,e,40,c,7408
client-333,c,21,e,8941
client-334,c,25,e,8728
client-335,d,32,e,8861
client-336,e,41,h,10618
